Matches_name,Player_Name,Runs,Balls,Fours,Sixes,SR
Lumbini vs Biratnagar - 7th Match,Ismat Alam,0,3,0,0,0
Lumbini vs Biratnagar - 7th Match,Martin Guptill,28,17,6,0,164.7
Lumbini vs Biratnagar - 7th Match,Rajesh Pulami,4,10,0,0,40
Lumbini vs Biratnagar - 7th Match,Nicholas Kirton,0,1,0,0,0
Lumbini vs Biratnagar - 7th Match,Basir Ahamad,40,23,4,1,173.91
Lumbini vs Biratnagar - 7th Match,Dipak Bohara,9,8,0,0,112.5
Lumbini vs Biratnagar - 7th Match,Pratis GC,6,3,0,1,200
Lumbini vs Biratnagar - 7th Match,Sandeep Lamichhane,1,3,0,0,33.33
Lumbini vs Biratnagar - 7th Match,Chris Sole,14,4,2,1,350
Lumbini vs Biratnagar - 7th Match,Anil Kharel,,,,,
Pokhara vs Janakpur - 8th Match,Dinesh Kharel,10,17,0,1,58.82
Pokhara vs Janakpur - 8th Match,Andries Gous,20,16,3,1,125
Pokhara vs Janakpur - 8th Match,Kushal Bhurtel,6,6,1,0,100
Pokhara vs Janakpur - 8th Match,Dilip Nath,11,14,1,0,78.57
Pokhara vs Janakpur - 8th Match,Matt Critchley,35,30,3,1,116.66
Pokhara vs Janakpur - 8th Match,Raymon Reifer,17,20,1,0,85
Pokhara vs Janakpur - 8th Match,Michael Leask,25,13,0,3,192.3
Pokhara vs Janakpur - 8th Match,Narayan Joshi,5,3,0,0,166.66
Pokhara vs Janakpur - 8th Match,Bipin Khatri,1,1,0,0,100
Pokhara vs Janakpur - 8th Match,Aakash Chand,,,,,
Pokhara vs Janakpur - 8th Match,Sagar Dhakal,,,,,
Pokhara vs Janakpur - 8th Match,Anil Sah,1,3,0,0,33.33
Pokhara vs Janakpur - 8th Match,Aasif Sheikh,33,34,3,0,97.05
Pokhara vs Janakpur - 8th Match,Lahiru Milantha,45,32,8,0,140.62
Pokhara vs Janakpur - 8th Match,Harsh Thaker,13,14,1,0,92.85
Pokhara vs Janakpur - 8th Match,James Neesham,40,20,0,5,200
Pokhara vs Janakpur - 8th Match,Mohammad Mohsin,,,,,
Pokhara vs Janakpur - 8th Match,Shubh Kansakar,,,,,
Pokhara vs Janakpur - 8th Match,Tul Thapa,,,,,
Pokhara vs Janakpur - 8th Match,Lalit Rajbanshi,,,,,
Pokhara vs Janakpur - 8th Match,Hemant Dhami,,,,,
Pokhara vs Janakpur - 8th Match,Kishore Mahato,,,,,
S Paschim vs Kathmandu - 9th Match,Saif Zaib,11,9,1,0,122.22
S Paschim vs Kathmandu - 9th Match,Binod Bhandari,35,28,2,2,125
S Paschim vs Kathmandu - 9th Match,Brandon McMullen,53,36,3,4,147.22
S Paschim vs Kathmandu - 9th Match,Dipendra Singh Airee,43,25,3,2,172
S Paschim vs Kathmandu - 9th Match,Rohan Mustafa,4,7,0,0,57.14
S Paschim vs Kathmandu - 9th Match,Aarif Sheikh,3,3,0,0,100
S Paschim vs Kathmandu - 9th Match,Scott Kuggeleijn,7,7,0,0,100
S Paschim vs Kathmandu - 9th Match,Ishan Pandey,1,5,0,0,20
S Paschim vs Kathmandu - 9th Match,Naren Saud,,,,,
S Paschim vs Kathmandu - 9th Match,Abinash Bohara,,,,,
S Paschim vs Kathmandu - 9th Match,Naresh Budayair,,,,,
S Paschim vs Kathmandu - 9th Match,Michael Levitt,5,7,1,0,71.42
S Paschim vs Kathmandu - 9th Match,Shankar Rana,3,7,0,0,42.85
S Paschim vs Kathmandu - 9th Match,Stephen Eskinazi,37,33,5,1,112.12
S Paschim vs Kathmandu - 9th Match,Bhim Sharki,10,8,2,0,125
S Paschim vs Kathmandu - 9th Match,Gerhard Erasmus,10,5,1,1,200
S Paschim vs Kathmandu - 9th Match,Sumit Maharjan,14,10,2,0,140
S Paschim vs Kathmandu - 9th Match,Rashid Khan,2,10,0,0,20
S Paschim vs Kathmandu - 9th Match,Pratik Shrestha,8,6,0,1,133.33
S Paschim vs Kathmandu - 9th Match,Karan KC,1,5,0,0,20
S Paschim vs Kathmandu - 9th Match,Nathan Sowter,1,1,0,0,100
S Paschim vs Kathmandu - 9th Match,Shahab Alam,1,3,0,0,33.33
Chitwan vs Karnali - 10th Match,Luc Benkenstein,0,5,0,0,0
Chitwan vs Karnali - 10th Match,Deepak Bohara,8,8,1,0,100
Chitwan vs Karnali - 10th Match,Bipin Rawal,11,15,1,0,73.33
Chitwan vs Karnali - 10th Match,Ravi Bopara,59,40,7,1,147.5
Chitwan vs Karnali - 10th Match,Kushal Malla,23,27,2,1,85.18
Chitwan vs Karnali - 10th Match,Jan Nicol Loftie-Eaton,9,12,1,0,75
Chitwan vs Karnali - 10th Match,Sohail Tanvir,0,2,0,0,0
Chitwan vs Karnali - 10th Match,Amar Routela,9,8,0,1,112.5
Chitwan vs Karnali - 10th Match,Sharad Vesawkar,6,3,1,0,200
Chitwan vs Karnali - 10th Match,Santosh Karki,,,,,
Chitwan vs Karnali - 10th Match,Rijan Dhakal,,,,,
Chitwan vs Karnali - 10th Match,Shikhar Dhawan,45,41,4,1,109.75
Chitwan vs Karnali - 10th Match,Dev Khanal,25,34,1,1,73.52
Chitwan vs Karnali - 10th Match,Chadwick Walton,30,19,0,3,157.89
Chitwan vs Karnali - 10th Match,Zeeshan Maqsood,12,15,1,0,80
Chitwan vs Karnali - 10th Match,Arjun Gharti,11,10,0,0,110
Chitwan vs Karnali - 10th Match,Gulsan Jha,0,0,0,0,-
Chitwan vs Karnali - 10th Match,William Bosisto,,,,,
Chitwan vs Karnali - 10th Match,Sompal Kami,,,,,
Chitwan vs Karnali - 10th Match,Nandan Yadav,,,,,
Chitwan vs Karnali - 10th Match,Bipin Sharma,,,,,
Chitwan vs Karnali - 10th Match,Unish Thakuri,,,,,
