"players_name","players_type","total_batted","matches_name","runs","balls","fours","sixes","sr","overs","maidens","runs_conceded","wickets","economy","wides","no_balls"
"Narayan Joshi","All Rounder",5,"Biratnagar vs Pokhara - 20th match",2,3,0,0,"66.66",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Narayan Joshi","All Rounder",5,"Chitwan vs Pokhara - 5th Match",30,24,3,2,"125","1",0,10,0,"10",0,0
"Narayan Joshi","All Rounder",5,"Lumbini vs Pokhara - 11th Match",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Narayan Joshi","All Rounder",5,"Pokhara vs Janakpur - 8th Match",5,3,0,0,"166.66","1",0,21,0,"21",3,0
"Narayan Joshi","All Rounder",5,"Pokhara vs Karnali - 17th Match",1,2,0,0,"50",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Narayan Joshi","All Rounder",5,"Pokhara vs Kathmandu - 24th Match",0,1,0,0,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Raymon Reifer","All Rounder",7,"Biratnagar vs Pokhara - 20th match",34,23,3,2,"147.82",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Raymon Reifer","All Rounder",7,"Biratnagar vs Pokhara - 20th match",17,5,1,2,"340",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Raymon Reifer","All Rounder",7,"Chitwan vs Pokhara - 5th Match",1,9,0,0,"11.11","4",0,38,2,"9.5",2,0
"Raymon Reifer","All Rounder",7,"Lumbini vs Pokhara - 11th Match",NULL,NULL,NULL,NULL,NULL,"4",0,30,0,"7.5",2,0
"Raymon Reifer","All Rounder",7,"Pokhara vs Janakpur - 8th Match",17,20,1,0,"85","1",0,12,0,"12",0,0
"Raymon Reifer","All Rounder",7,"Pokhara vs Karnali - 17th Match",20,26,0,0,"76.92","2",0,7,0,"3.5",0,0
"Raymon Reifer","All Rounder",7,"Pokhara vs Kathmandu - 24th Match",41,30,1,3,"136.66","2",0,20,0,"10",0,0
"Raymon Reifer","All Rounder",7,"S Paschim vs Pokhara - 27th Match",33,28,2,2,"117.85","4",0,24,1,"6",1,0
"Sagar Dhakal","left-arm orthodox spin Bowler",4,"Biratnagar vs Pokhara - 20th match",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Sagar Dhakal","left-arm orthodox spin Bowler",4,"Chitwan vs Pokhara - 5th Match",0,1,0,0,"0","3",0,16,1,"5.33",0,0
"Sagar Dhakal","left-arm orthodox spin Bowler",4,"Lumbini vs Pokhara - 11th Match",NULL,NULL,NULL,NULL,NULL,"2",0,23,0,"11.5",0,0
"Sagar Dhakal","left-arm orthodox spin Bowler",4,"Pokhara vs Janakpur - 8th Match",NULL,NULL,NULL,NULL,NULL,"4",0,20,0,"5",0,0
"Sagar Dhakal","left-arm orthodox spin Bowler",4,"Pokhara vs Karnali - 17th Match",0,1,0,0,"0","4",0,24,1,"6",0,0
"Sagar Dhakal","left-arm orthodox spin Bowler",4,"Pokhara vs Kathmandu - 24th Match",1,2,0,0,"50","4",0,37,0,"9.25",0,0
"Sagar Dhakal","left-arm orthodox spin Bowler",4,"S Paschim vs Pokhara - 27th Match",1,1,0,0,"100","4",0,29,1,"7.25",0,0
"Sudip Aryal","right handed Batter",1,"S Paschim vs Pokhara - 27th Match",0,0,0,0,"-","2",0,19,0,"9.5",0,1
"Trit Raj Das","All Rounder",1,"Biratnagar vs Pokhara - 20th match",0,1,0,0,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Zen Malik","All Rounder",2,"Biratnagar vs Pokhara - 20th match",4,9,0,0,"44.44",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Zen Malik","All Rounder",2,"S Paschim vs Pokhara - 27th Match",10,15,0,0,"66.66",NULL,NULL,NULL,NULL,NULL,NULL,NULL
