"players_name","players_type","total_batted","matches_name","runs","balls","fours","sixes","sr","overs","maidens","runs_conceded","wickets","economy","wides","no_balls"
"Shahab Alam","left-arm orthodox spin Bowler",6,"Pokhara vs Kathmandu - 24th Match",NULL,NULL,NULL,NULL,NULL,"2",0,12,0,"6",1,0
"Shahab Alam","left-arm orthodox spin Bowler",6,"S Paschim vs Kathmandu - 9th Match",1,3,0,0,"33.33","4",0,28,1,"7",0,0
"Shankar Rana","right handed Batter",4,"Biratnagar vs Kathmandu - 26th Match",16,20,1,0,"80",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Shankar Rana","right handed Batter",4,"Karnali vs Kathmandu - 6th Match",6,7,1,0,"85.71",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Shankar Rana","right handed Batter",4,"Kathmandu vs Chitwan - 2nd Match",16,17,1,1,"94.11",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Shankar Rana","right handed Batter",4,"S Paschim vs Kathmandu - 9th Match",3,7,0,0,"42.85",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Stephen Eskinazi","WicketKeeper Batter",7,"Biratnagar vs Kathmandu - 26th Match",1,3,0,0,"33.33",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Stephen Eskinazi","WicketKeeper Batter",7,"Karnali vs Kathmandu - 6th Match",3,6,0,0,"50",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Stephen Eskinazi","WicketKeeper Batter",7,"Kathmandu vs Chitwan - 2nd Match",2,4,0,0,"50",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Stephen Eskinazi","WicketKeeper Batter",7,"Kathmandu vs Janakpur - 21st Match",17,19,2,0,"89.47",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Stephen Eskinazi","WicketKeeper Batter",7,"Kathmandu vs Lumbini - 19th Match",13,16,2,0,"81.25",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Stephen Eskinazi","WicketKeeper Batter",7,"Pokhara vs Kathmandu - 24th Match",60,34,10,0,"176.47",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Stephen Eskinazi","WicketKeeper Batter",7,"S Paschim vs Kathmandu - 9th Match",37,33,5,1,"112.12",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Sumit Maharjan","right-arm medium Bowler",5,"Karnali vs Kathmandu - 6th Match",40,37,3,1,"108.1",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Sumit Maharjan","right-arm medium Bowler",5,"Kathmandu vs Chitwan - 2nd Match",29,41,1,0,"70.73",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Sumit Maharjan","right-arm medium Bowler",5,"Kathmandu vs Janakpur - 21st Match",0,3,0,0,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Sumit Maharjan","right-arm medium Bowler",5,"Kathmandu vs Lumbini - 19th Match",4,4,1,0,"100",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Sumit Maharjan","right-arm medium Bowler",5,"S Paschim vs Kathmandu - 9th Match",14,10,2,0,"140",NULL,NULL,NULL,NULL,NULL,NULL,NULL
