"players_name","players_type","total_batted","matches_name","runs","balls","fours","sixes","sr","overs","maidens","runs_conceded","wickets","economy","wides","no_balls"
"Lahiru Milantha","WicketKeeper Batter",10,"Karnali vs Janakpur - Qualifier 2",2,9,0,0,"22.22",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Lahiru Milantha","WicketKeeper Batter",10,"Kathmandu vs Janakpur - 21st Match",16,20,2,0,"80",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Lahiru Milantha","WicketKeeper Batter",10,"Pokhara vs Janakpur - 8th Match",45,32,8,0,"140.62",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Lahiru Milantha","WicketKeeper Batter",10,"S Paschim vs Janakpur - 18th Match",7,7,1,0,"100",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Lahiru Milantha","WicketKeeper Batter",10,"S Paschim vs Janakpur - Final",87,49,9,4,"177.55",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Lalit Rajbanshi","left-arm orthodox spin Bowler",4,"Biratnagar vs Janakpur - 1st Match",NULL,NULL,NULL,NULL,NULL,"4",0,28,3,"7",0,0
"Lalit Rajbanshi","left-arm orthodox spin Bowler",4,"Chitwan vs Janakpur - 25th Match",0,4,0,0,"0","4",2,11,2,"2.75",0,0
"Lalit Rajbanshi","left-arm orthodox spin Bowler",4,"Janakpur vs Lumbini - 14th Match",0,1,0,0,"0","4",0,13,1,"3.25",0,0
"Lalit Rajbanshi","left-arm orthodox spin Bowler",4,"Janakpur vs S Paschim - Qualifier 1",NULL,NULL,NULL,NULL,NULL,"4",0,37,1,"9.25",1,0
"Lalit Rajbanshi","left-arm orthodox spin Bowler",4,"Karnali vs Janakpur - 3rd Match",NULL,NULL,NULL,NULL,NULL,"4",0,16,1,"4",0,0
"Lalit Rajbanshi","left-arm orthodox spin Bowler",4,"Karnali vs Janakpur - Qualifier 2",NULL,NULL,NULL,NULL,NULL,"4",0,22,2,"5.5",2,0
"Lalit Rajbanshi","left-arm orthodox spin Bowler",4,"Kathmandu vs Janakpur - 21st Match",NULL,NULL,NULL,NULL,NULL,"4",2,8,3,"2",0,0
"Lalit Rajbanshi","left-arm orthodox spin Bowler",4,"Pokhara vs Janakpur - 8th Match",NULL,NULL,NULL,NULL,NULL,"4",0,31,3,"7.75",1,0
"Lalit Rajbanshi","left-arm orthodox spin Bowler",4,"S Paschim vs Janakpur - 18th Match",4,9,1,0,"44.44","4",0,32,0,"8",0,0
"Lalit Rajbanshi","left-arm orthodox spin Bowler",4,"S Paschim vs Janakpur - Final",NULL,NULL,NULL,NULL,NULL,"4",1,15,1,"3.75",0,0
"Mayan Yadav","All Rounder",2,"Karnali vs Janakpur - Qualifier 2",14,18,0,0,"77.77",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Mayan Yadav","All Rounder",2,"S Paschim vs Janakpur - Final",2,3,0,0,"66.66",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Mohammad Mohsin","right-arm offbreak Bowler",6,"Biratnagar vs Janakpur - 1st Match",NULL,NULL,NULL,NULL,NULL,"4",0,20,1,"5",0,0
"Mohammad Mohsin","right-arm offbreak Bowler",6,"Chitwan vs Janakpur - 25th Match",13,12,2,0,"108.33","3",0,24,1,"8",0,0
"Mohammad Mohsin","right-arm offbreak Bowler",6,"Janakpur vs Lumbini - 14th Match",3,5,0,0,"60","4",0,18,0,"4.5",0,0
